source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.9427902698516846,ens_E3_005,7,monthly,1991-2020,3.4154140949249268,0.5273761749267578
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.706923484802246,ens_E3_005,8,monthly,1991-2020,3.1909031867980957,0.5160202980041504
CFS,CFSv2,dynamical,2026-04-27,2027-01,3.06067156791687,ens_E3_005,9,monthly,1991-2020,2.404141664505005,0.6565299034118652
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0983754396438599,ens_E3_006,1,monthly,1991-2020,0.7591255307197571,0.3392499089241028
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.3423786163330078,ens_E3_006,2,monthly,1991-2020,0.932402491569519,0.40997612476348877
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.794073224067688,ens_E3_006,3,monthly,1991-2020,1.3602653741836548,0.4338078498840332
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.3440544605255127,ens_E3_006,4,monthly,1991-2020,1.809053897857666,0.5350005626678467
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.1297569274902344,ens_E3_006,5,monthly,1991-2020,1.6230969429016113,0.506659984588623
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.5205538272857666,ens_E3_006,6,monthly,1991-2020,2.018827438354492,0.5017263889312744
CFS,CFSv2,dynamical,2026-04-27,2026-11,2.631474733352661,ens_E3_006,7,monthly,1991-2020,2.0994458198547363,0.5320289134979248
CFS,CFSv2,dynamical,2026-04-27,2026-12,2.4811720848083496,ens_E3_006,8,monthly,1991-2020,2.000380039215088,0.4807920455932617
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.3805675506591797,ens_E3_006,9,monthly,1991-2020,1.7792987823486328,0.6012687683105469
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0730361938476562,ens_E3_007,1,monthly,1991-2020,0.7143685221672058,0.35866767168045044
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5582170486450195,ens_E3_007,2,monthly,1991-2020,1.2026145458221436,0.355602502822876
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.967614769935608,ens_E3_007,3,monthly,1991-2020,1.6509391069412231,0.31667566299438477
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.602804660797119,ens_E3_007,4,monthly,1991-2020,2.2637252807617188,0.3390793800354004
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.897465229034424,ens_E3_007,5,monthly,1991-2020,2.419384479522705,0.47808074951171875
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.5144240856170654,ens_E3_007,6,monthly,1991-2020,2.981562614440918,0.5328614711761475
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.9852962493896484,ens_E3_007,7,monthly,1991-2020,3.5578110218048096,0.42748522758483887
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.366220235824585,ens_E3_007,8,monthly,1991-2020,2.893268346786499,0.47295188903808594
CFS,CFSv2,dynamical,2026-04-27,2027-01,3.3201985359191895,ens_E3_007,9,monthly,1991-2020,2.7756824493408203,0.5445160865783691
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0300389528274536,ens_E3_008,1,monthly,1991-2020,0.6162809729576111,0.41375797986984253
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.7070194482803345,ens_E3_008,2,monthly,1991-2020,1.1898455619812012,0.5171738862991333
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.8626062870025635,ens_E3_008,3,monthly,1991-2020,2.453280210494995,0.40932607650756836
CFS,CFSv2,dynamical,2026-04-27,2026-08,3.5791571140289307,ens_E3_008,4,monthly,1991-2020,3.2479889392852783,0.33116817474365234
CFS,CFSv2,dynamical,2026-04-27,2026-09,3.763380289077759,ens_E3_008,5,monthly,1991-2020,3.3479995727539062,0.41538071632385254
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.919062614440918,ens_E3_008,6,monthly,1991-2020,3.3358988761901855,0.5831637382507324
CFS,CFSv2,dynamical,2026-04-27,2026-11,4.455690860748291,ens_E3_008,7,monthly,1991-2020,3.861509084701538,0.5941817760467529
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.9475157260894775,ens_E3_008,8,monthly,1991-2020,3.2723116874694824,0.6752040386199951
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.9032249450683594,ens_E3_008,9,monthly,1991-2020,2.0941033363342285,0.8091216087341309
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.9017429947853088,ens_E3_009,1,monthly,1991-2020,0.5222426652908325,0.3795003294944763
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5571192502975464,ens_E3_009,2,monthly,1991-2020,1.1102879047393799,0.4468313455581665
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.2218451499938965,ens_E3_009,3,monthly,1991-2020,1.7810921669006348,0.4407529830932617
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.540449619293213,ens_E3_009,4,monthly,1991-2020,2.0913736820220947,0.44907593727111816
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.840895175933838,ens_E3_009,5,monthly,1991-2020,2.453385829925537,0.3875093460083008
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.5084691047668457,ens_E3_009,6,monthly,1991-2020,3.08976149559021,0.41870760917663574
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.603097677230835,ens_E3_009,7,monthly,1991-2020,3.0640549659729004,0.5390427112579346
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.3500559329986572,ens_E3_009,8,monthly,1991-2020,2.743636131286621,0.6064198017120361
CFS,CFSv2,dynamical,2026-04-27,2027-01,3.1820106506347656,ens_E3_009,9,monthly,1991-2020,2.557647943496704,0.6243627071380615
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.9631481170654297,ens_E3_010,1,monthly,1991-2020,0.5823535323143005,0.38079458475112915
